Date,Clients per Month,.COM Clients per Day,.ORG Clients per Day,.EDU Clients per Day,.NET Clients per Day,.Gov Clients per Day,Requests per Month,.COM Requests per Day,.ORG Requests per Day,.EDU Requests per Day,.NET Requests per Day,.Gov Requests per Day,Values per Month without log scale,.COM Values per Day,,.EDU Values per Day,.NET Values per Day,.Gov Values per Day
10/1/2014,2,0,0,0,2,0,158,0,0,0,98,0,227497,0,0,0,227497,0
10/2/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/3/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/4/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/5/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/6/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/7/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/8/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/9/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/10/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/12/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/13/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/14/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/15/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/16/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/17/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/18/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/19/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/20/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/22/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/23/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/24/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/25/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/26/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/27/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/28/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/29/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/30/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/31/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/1/2014,3,0,0,0,3,0,1197,0,0,0,168,0,393327,0,0,0,393327,0
11/2/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/3/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/4/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/5/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/6/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/7/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/8/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/9/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/10/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/11/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/12/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/13/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/14/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/15/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/16/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/17/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/18/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/19/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/20/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/21/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/22/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/23/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/24/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/25/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/26/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/27/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/28/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/29/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/30/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/1/2014,0,0,0,0,0,0,720,0,0,0,1,0,0,0,0,0,0,0
12/2/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/3/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/4/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/5/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/6/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/7/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/8/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/9/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/10/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/11/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/12/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/13/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/14/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/15/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/16/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/17/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/18/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/19/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/20/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/21/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/22/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/23/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/24/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/25/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/26/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/27/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/28/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/29/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/30/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/31/2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/1/2015,1,0,0,0,0,0,653,0,0,0,0,0,260155,0,0,0,0,0
